texte;ents_str;ents_idx
Les tranches de saumon frais étaient marinées dans du vinaigre et des herbes pour une entrée savoureuse.;['saumon frais', 'vinaigre', 'herbes'];[(16, 28), (54, 62), (70, 76)]
Les échalotes émincées étaient cuites dans du beurre et servies sur du steak grillé.;['échalotes', 'beurre', 'steak grillé'];[(4, 13), (46, 52), (71, 83)]
Les pommes de terre nouvelles étaient coupées en fines rondelles et frites dans de l'huile chaude.;['pommes de terre nouvelles', 'huile'];[(4, 29), (85, 90)]
Les tranches de banane étaient enfilées sur des brochettes et trempées dans du chocolat fondu pour un dessert décadent.;['banane', 'chocolat fondu', 'brochettes'];[(16, 22), (79, 93), (48, 58)]
Les gousses de vanille fraîches étaient utilisées pour aromatiser la crème glacée maison.;['vanille', 'crème glacée maison'];[(15, 22), (69, 88)]
Les pois chiches grillés étaient mélangés à des épices chaudes pour une collation croustillante et savoureuse.;['pois chiches grillés', 'épices chaudes'];[(4, 24), (48, 62)]
Les zestes d'orange frais étaient râpés et ajoutés à la tarte pour une saveur vive.;"[""zestes d'orange"", 'tarte']";[(4, 19), (56, 61)]
Les feuilles de coriandre fraîches étaient utilisées pour garnir le bœuf épicé.;['coriandre', 'bœuf épicé'];[(16, 25), (68, 78)]
Les topinambours rôtis étaient tendres et légèrement croustillants.;['topinambours rôtis'];[(4, 22)]
Le fromage râpé était uniformément réparti sur la pizza pour une texture fondante et délicieuse.;['fromage râpé', 'pizza'];[(3, 15), (50, 55)]
Les tranches de pastèque juteuses étaient délicieusement rafraîchissantes par temps chaud.;['pastèque'];[(16, 24)]
Les cannellonis farcis étaient gratinés au four jusqu'à ce que le fromage fondu soit doré et délicieux.;['cannellonis farcis', 'fromage fondu'];[(4, 22), (66, 79)]
Les tranches de pomme de terre étaient soigneusement rangées dans un plat à gratin et garnies de crème fraîche.;['pomme de terre', 'crème fraîche', 'gratin'];[(16, 30), (97, 110), (76, 82)]
Les jolies fraises des bois étaient parsemées sur le gâteau pour une touche de couleur.;['fraises des bois', 'gâteau'];[(11, 27), (53, 59)]
Les asperges blanches fraîches étaient grillées et servies avec une sauce hollandaise épaisse.;['asperges blanches', 'sauce hollandaise'];[(4, 21), (68, 85)]
Les rondelles d'oignon rouges étaient sautées et ajoutées au curry épicé.;['oignon rouge', 'curry épicé'];[(16, 28), (61, 72)]
Les tranches fines de jambon étaient roulées et servies avec du melon frais pour une entrée légère et savoureuse.;['jambon', 'melon'];[(22, 28), (64, 69)]
Les tranches de citron vert frais étaient utilisées pour garnir le ceviche de fruits de mer frais.;['citron vert', 'ceviche de fruits de mer'];[(16, 27), (67, 91)]
Les champignons cremini étaient sautés avec de l'ail et du beurre pour une garniture savoureuse pour les pâtes.;['champignons cremini', 'ail', 'beurre', 'pâtes'];[(4, 23), (49, 52), (59, 65), (105, 110)]
Les bouts de tige de brocoli croquants étaient transformés en fines lamelles et ajoutés à la salade.;['brocoli', 'salade'];[(21, 28), (93, 99)]
Les tranches de pain frais étaient légèrement grillées et garnies d'une fine couche de beurre salé.;['pain frais', 'beurre salé'];[(16, 26), (87, 98)]
Les épinards frais étaient mélangés avec de la feta émiettée pour une salade délicieuse.;['épinards', 'feta', 'salade'];[(4, 12), (47, 51), (70, 76)]
